hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,ETS,ITS,matK,ndhF,psbA-trnh,rpl16,rpl32-trnl,rps16-trnq,trnl-trnf,,Reference,,campo_rupestre,non_campo_rupestre
Accara_elegans,x,Accara elegans (DC.) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954013,MF954518,MF954431,MF954271,MF954309,MF954197,,,,Amorim et al. in press,,(outgroup),(outgroup)
Algrizea_macrochlamys,x,Algrizea macrochlamys (DC.) Proença & NicLugh.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489890,AM234126,AM489975,MF954432,AM489809,MF954310,MF954198,KP722283,JN091320,,Amorim et al. in press,,(outgroup),(outgroup)
Algrizea_minor,x,"Algrizea minor Sobral, Faria & Proença",(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954014,,MF954433,MF954272,MF954311,MF954199,MF954078,,,Amorim et al. in press,,(outgroup),(outgroup)
Blepharocalyx_cruckshanskii_T,x,Blepharocalyx cruckshanksii (Hook. & Arn.) Nied. in H.G.A.Engler & K.A. E.Prantl,(BAMM analysis not performed),(BAMM analysis not performed),,,,AM234070,AM489978,MF954437,AM489814,JN660956a,JN661055a,JN661105a,,,Amorim et al. in press,,(outgroup),(outgroup)
Blepharocalyx_eggersii_T,x,Blepharocalyx eggersii (Kiaersk.) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954017,MF954519,MF954438,MF954274,MF954313,MF954202,MF954081,MF954137,,Amorim et al. in press,,(outgroup),(outgroup)
Blepharocalyx_salicifolius_T,x,Blepharocalyx salicifolius (Kunth) O. Berg [1],(BAMM analysis not performed),(BAMM analysis not performed),,,,AM234084,AM489979,MF954440,AM489815,JN660984,,JN661133,MF954139,,Amorim et al. in press,,(outgroup),(outgroup)
Blepharocalyx_salicifolius2_T,x,Blepharocalyx salicifolius (Kunth) O. Berg [2],(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954314,MF954520,MF954439,MF954275,MF954314,,MF954082,MF954138,,Amorim et al. in press,,(outgroup),(outgroup)
Calycolpus_goetheanus,x,Calycolpus goetheanus (Mart. ex DC.) O. Berh,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954019,MF954521,MF954441,MF954276,MF954315,MF954203,MF954083,MF954140,,Amorim et al. in press,,(outgroup),(outgroup)
Calycolpus_moritzianus,x,Calycolpus moritzianus (O.Berg) Burret,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU945986,KU945991,,KU945999,,,,,,Amorim et al. in press,,(outgroup),(outgroup)
Calyptranthes_barkeri,Calyptranthes_barkeri,Calyptranthes barkeri Ekman & Urb.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164811,,,KU164837,,,KU171284,KU164862,,Amorim et al. in press,,0,1
Calyptranthes_bipennis,Calyptranthes_bipennis,Calyptranthes bipennis O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164817,,,KU164843,,,,KU164868,,Amorim et al. in press,,0,1
Calyptranthes_brasiliensis,Calyptranthes_brasiliensis,Calyptranthes brasiliensis Spreng.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954020,,MF954443,MF954278,,,,KU164856,,Amorim et al. in press,,1,1
Calyptranthes_clusiifolia,Calyptranthes_clusiifolia,Calyptranthes clusiifolia O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091251,JN091200,,,JN091391,,,,,,Amorim et al. in press,,1,1
Calyptranthes_concinna,Calyptranthes_concinna,Calyptranthes concinna DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489898,AM234103,AM489980,KP722454,AM489817,,MK182467*,KP722231,JN091321,,Amorim et al. in press,,0,1
Calyptranthes_eriocephala,Calyptranthes_eriocephala,Calyptranthes eriocephala Urb.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164809,,,KU164835,,,KU171282,KU164860,,Amorim et al. in press,,0,1
Calyptranthes_fasciculata,Calyptranthes_fasciculata,Calyptranthes fasciculata O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164798,,,KU164824,,,,KU164849,,Amorim et al. in press,,0,1
Calyptranthes_garciae,Calyptranthes_garciae,Calyptranthes garciae Alain & M. M. Mejía,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164812,,,KU164838,,,KU171285,KU164863,,Amorim et al. in press,,0,1
Calyptranthes_grandifolia,Calyptranthes_grandifolia,"Calyptranthes grandifolia O.Berg,",(BAMM analysis not performed),(BAMM analysis not performed),,,JN091252,JN091201,JN091302,,JN091392,MK174993*,MK182468*,KU898502,JN091322,,Amorim et al. in press,,0,1
Calyptranthes_hatschbachii,Calyptranthes_hatschbachii,Calyptranthes hatschbachii D. Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164801,,,KU164827,,,KU171278.,KU164852,,Amorim et al. in press,,0,1
Calyptranthes_kiaerskovii,Calyptranthes_kiaerskovii,Calyptranthes kiaerskovii Krug & Urb.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489900,AM234105,AM489981,,AM489819,,,,JN091323,,Amorim et al. in press,,0,1
Calyptranthes_laevigata,Calyptranthes_laevigata,Calyptranthes laevigata Urb. & Ekman,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164804,,,KU164830,,,KU171279.,KU164855,,Amorim et al. in press,,0,1
Calyptranthes_lanceolata,Calyptranthes_lanceolata,"Calyptranthes lanceolata O.Berg,",(BAMM analysis not performed),(BAMM analysis not performed),,,AM489899,AM234104,,,AM489818,MK174994*,MK182469*,MK202481*,JN091324,,Amorim et al. in press,,0,1
Calyptranthes_lindeniana,Calyptranthes_lindeniana,Calyptranthes lindeniana O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164816,,,KU164842,,,KU171288,KU164867,,Amorim et al. in press,,0,1
Calyptranthes_longicalyptrata,Calyptranthes_longicalyptrata,Calyptranthes longicalyptrata B. Holst & M.L. Kawas.,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,MF954444,,MF954318,,MF954085,MF954142,,Amorim et al. in press,,0,1
