hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS,psba,rps16,trnDT,,Reference,,,campo_rupestre,non_campo_rupestre
Barjonia_chlorifolia,Barjonia_chlorifolia,Barjonia chlorifolia Decne.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872658.1,JN805894.1,JN574558.1,AJ704463.1,JN574510.1,Barjonia chloraeifolia chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,1,0
Barjonia_cymosa,Barjonia_cymosa,Barjonia cymosa E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872659.1,JN805895.1,,JN574477.1,,"Barjonia cymosa ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,0,1
Barjonia_erecta,Barjonia_erecta,Barjonia erecta (Vell.) K.Schum.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872660.1,,JN574559.1,JN574478.1,JN574511.1,"Barjonia erecta ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Barjonia_harleyi,Barjonia_harleyi,Minaria harleyi (Fontella & Marquete) Rapini & U.C.S.Silva,(BAMM analysis not performed),(BAMM analysis not performed),,JN872661.1,JN805898.1,JN574561.1,JN574480.1,JN574512.1,"Barjonia harleyi ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Blepharodon_ampliflorum,Blepharodon_ampliflorum,Blepharodon ampliflorum E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872662.1,JN805900.1,JN574563.1,JN574482.1,JN574513.1,"Blepharodon ampliflorum ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Blepharodon_pictum,Blepharodon_pictum,Blepharodon pictum (Vahl) W.D.Stevens,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805904.1,JN574567.1,AJ704467.1,JN574516.1,Blepharodon pictum chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,1,1
Ditassa_banksii,Ditassa_banksii,Ditassa banksii R.Br. ex Schult.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805906.1,,AJ704473.1,JN574518.1,Ditassa banksii chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,0,1
Ditassa_burchellii,Ditassa_burchellii,Ditassa burchellii Hook. & Arn.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805908.1,,AJ699293.1,JN574519.1,Ditassa burchellii chloroplast partial rps16 gene intron,"Ribeiro et al. 2012, 2014",,,0,1
Ditassa_capillaris,Ditassa_capillaris,Ditassa capillaris E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872663.1,JN805909.1,JN574571.1,JN574487.1,JN574520.1,"Ditassa capillaris ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Ditassa_decussata,Ditassa_decussata,Minaria decussata (Mart.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,,,AJ704217.1,,Ditassa decussata chloroplast partial rps16 gene intron,"Ribeiro et al. 2012, 2014",,,1,0
